Name,Active instances,Installs,Cloud less 10,Cloud less 100,Server less 10,Server less 25,server less 50,server less 100,server less 250
Calendar for Jira - Plan Team Activities,912,915,7,0.7,10,130,240,440,"880
"
Quantum-RecentWorklogs,2,2,0,0,10,10,10,10,10
Jiregg - Work Log Mobile App. Jira Cloud,0,57,0,0,,,,,
Native JIRA Client for macOS - Bee,0,622,0,0,,,,,
Timetracker - Time Tracking & Reporting,1686,1700,0,0,10,150,250,450,1000
STAGIL Assets - Advanced Links,83,86,0,0,10,325,600,1100,2200
Mail.Ru Calendar,1407,1400,0,0,10,429,792,1452,2904
Relative Time Converter,64,61,0,0,,,,,
Worklog Assistant (time tracking),0,8000,0,0,,,,,
Project Budget for Jira,18,15,0,0,10,400,700,1200,2400
Countdown Gadget,190,186,0,0,,,,,
xPort - Custom Worklog Export for Jira,57,61,0,0,10,120,220,400,800
Automated Log Work for Jira,1950,1900,5,0.55,10,50,100,200,400
Time Tracking Enforcer for Jira,16,16,0,0,10,120,220,400,800
Worklogs Report,199,198,0,0,5,1.2,,,
Workboard,27,25,10,3,10,450,800,1500,3000
TeamLog: Time Tracking & Reporting Tool,12,10,0,0,10,300,550,1000,2000
Daily Worklog,10,10,0,0,10,10,20,20,25
teampro-jira,3,3,0,0,,,,,
QLogger,157,157,0,0,,,,,
Timesheet and Gantt Chart for Jira,45,43,0,0,100,650,1200,2200,4400
Domat Pomodoro,0,146,0,0,10,25,50,100,250
jTimer,0,69,0,0,,,,,
Toggl integration for Jira,194,195,0,0,10,300,550,1000,3000
Tempo Mobile App for Jira,0,1400,0,0,,,,,
Tick Time Tracking for Jira,2,2,0,0,5,0.5,,,
Log Work As User for Jira,2,2,0,0,10,20,40,100,250
Better Excel Exporter for Jira (XLSX),1664,1700,0,0,10,290,550,990,1990
Spectrum Timesheets,9,11,0,0,10,300,550,1000,1250
SimpleLog Timesheet and Worklog Gadget,8,7,0,0,2.5,1.25,,,
Alkaes - Minyaa Time,28,28,0,0,90,200,300,425,700
WorklogPRO - Timesheets for Jira,551,547,0,0,10,260,500,1000,2200
Intelligent Reports,191,195,0,0,100,500,900,1200,2000
Harvest Time Tracking by 42nd,221,210,0,0,5,0.5,,,
Mobius Timesheet - Time Tracking Reports,86,86,0,0,4,2,,,
Gears worklog-restricted for Jira,12,11,0,0,,,,,
Time Tracking Stats for Jira,39,42,0,0,10,20,40,80,150
Status History PRO,41,38,0,0,10,25,50,100,250
Weekly Activity Gadget,59,62,0,0,100,100,100,100,100
Hide Time Tracking for Jira Cloud,152,153,0,0,,,,,
Harvester Real-Time Tracking,24,23,8,0.95,10,125,250,500,800
SLA Notifications Lite for Servicedesk,4,4,0,0,,,,,
UnView for Jira,5,6,0,0,10,400,800,1250,1850
TimeChimp Time Tracking,27,27,0,0,,,,,
Epic Sum Summary - Epic Time Stats,20,21,0,0,2,1,,,
CrISStal Eye,0,22,0,0,,,,,
Worklog Sync,17,19,0,0,10,40,75,150,225
Pomodoro & Stopwatch Timer for Jira,55,57,0,0,,,,,
Time Tracker for Jira®,0,493,0,0,,,,,
Service Desk Reporter,50,53,0,0,10,80,100,150,300
PrOps Worklog Summary for Jira and OTRS,3,4,0,0,10,10,10,10,10
TimeCell Worklog Plugin for Jira,0,107,0,0,10,50,100,200,500
Jira StopWatch,0,2000,0,0,,,,,
All-In-One Timesheets for Jira,779,782,10,1.75,49,699,1299,2299,4499
Agile Clock for Jira,143,145,0,0,,,,,
Time in Status,722,724,0,0,10,150,200,300,500
Project TimeLine,94,97,2.5,1.25,10,250,480,880,1600
Clockwork Automated Timesheets,28,18,0,0,,,,,
Roll-Up Reports for Jira,27,28,0,0,2.5,1.25,,,
Team Worklog Reports,82,76,0,0,,,,,
Abacolla BI Drill Down & Reporting,10,10,0,0,7.5,3.75,,,
Replicon Time Tracking for Jira,0,0,0,0,,,,,
