Name,Description,Lables,Reviews,Installs
Tempo Timesheets,"Make time tracking easy for everyone in Jira and produce reliable data for powerful reporting, invoicing, and accounting","Dashboard gadgets, Integrations, Reports",327,STAFF PICK
Timesheet Reports and Gadgets,"Flexible time tracking and reporting of time spent on Projects, Epics or Initiatives broken down by Days, Users or Issue Stases","Dashboard gadgets, Time tracking",200,9400
Time Reports,"Flexible time tracking and reporting of time spent on Projects, Epics or Initiatives broken down by Days, Users or Issue Stases","Dashboard gadgets, Reports, Time tracking",90,4800
Better PDF Exporter for Jira (PDF View),"Customizable PDF export for Jira: issue lists, dashboards, timesheets, invoices, Release Notes, story cards & custom documents","Charts & diagramming, Documentation, Reports",189,2100
Better Excel Exporter for Jira (XLSX),"Full-blown native Excel exports, spreadsheet reports and Business Intelligence for Jira","Charts & diagramming, Integrations, Reports",87,1700
Mail.Ru Calendar,Browse issues and create events in calendar format,"Dashboard gadgets, Time tracking",253,1400
Timetracker - Time Tracking & Reporting,Simple yet powerful time tracking and work log reporting for Jira,"Dashboard gadgets, Time tracking",43,1700
Issue History Collector,Service Desk app showing ticket duration by assignees and / or statuses,"Custom fields, IT & helpdesk, Time tracking",27,1400
All-In-One Reports for Jira,"Realize full potential of Jira by creating powerful reports and dashboards. Time tracking, Trend analysis, Agile and much more","Dashboard gadgets, Project management",39,1700
Work Time Calendar for Jira,"Planning and tracking time in calendar view, generation of configurable timesheets, locking of periods and start/stop timers","Dashboard gadgets, Time tracking",46,1400
Automated Log Work for Jira,Never enter worklogs manually again. Track time seamlessly and precisely,"Project management, Time tracking",80,1900
Links Hierarchy for Software & Portfolio,"Discover, trace, report and roll up progress dynamically for regular linked Issues, Subtasks, Epics and Portfolio hierarchies","Charts & diagramming, Project management",20,1200
Time to SLA,Time to SLA Plugin for Jira manages your SLAs,"Custom fields, Dashboard gadgets, IT & helpdesk",25,876
Planning Poker ®,Top Rated. Cloud Security Compliant. Planning Poker,"Continuous integration, Project management",84,522
All-In-One Timesheets for Jira,Get creative with AIO Timesheets: Build powerful time tracking reports with an easy to use interface,"Dashboard gadgets, Project management",18,782
WorklogPRO - Timesheets for Jira,Effective time tracking and reporting for Jira,"Dashboard gadgets, Project management",20,547
ictime TimeTracking & Reporting for Jira,"Easy, flexible time tracking, powerful reporting, and accounting for Jira","Custom fields, Reports, Time tracking",27,524
Time in Status,"Report how much time each issue spent on each status, each assignee or each group","IT & helpdesk, Project management, Reports",23,724
Calendar for Jira - Plan Team Activities,"Calendar helps you plan any kind of personal and team’s activities, no matter who are you - marketer, HR, legal or project manager",Time tracking,39,915
Toggl Integration for Jira,Toggl Integration for Jira — your integrated time tracking,"Integrations, Project management, Time tracking",18,553
Hide Time Tracking for Jira Server,Hide time tracking information from external users,Time tracking,15,535
Harvest Time Tracking by 42nd,Harvest powered time tracking right from issues in Jira,"Integrations, Time tracking",11,210
Intelligent Reports,"Create professional, custom Microsoft Word reports from your Jira data",Time tracking,9,195
Tracking & Estimation for Jira,Project Management Plugin with Role Based Time Tracking & Estimation Reports Aiding Over 66% Improved Working Efficiency,"Project management, Time tracking",21,204
Toggl integration for Jira,Time track with ease,"Dashboard gadgets, Time tracking",10,195
Worklogs Report,Smart tracking of logged hours and worklog comments,Time tracking,4,198
Miscellaneous Tracking for Jira,Extended time logging for more than just Jira tasks. Time logging & reporting for everything else that's not part of a project,Time tracking,8,178
Time Tracking And Billing Reporting,Affordable and comprehensive time tracking for Jira,"Dashboard gadgets, Time tracking",11,222
Capacity Tracker,"Manage your sprint workload, easily - SCRUM Only","Project management, Tasks, Time tracking",8,134
Timesheet tracking for Jira,Top 3 Trending Time tracking apps !! Simple time-sheets reports based on users and projects,"Charts & diagramming, Project management",18,1300
Mobius Timesheet - Time Tracking Reports,"View time spent by author, assignee, project, team, or any other Jira field available. Easy to use time logs and reports","Dashboard gadgets, Project management",15,86
Auto Plan Time for TEMPO,Sync data between TEMPO calendar allocations and Jira Issue fields,"Project management, Tasks, Time tracking",5,121
Harvest Time Tracking (Official),Harvest powered time tracking right from issues in Jira,Time tracking,106,2100
Pulse.Timesheet with Worklogs Gadget,Smart Timesheet Report tool with dashboard gadget for your worklogs,"Dashboard gadgets, Reports, Time tracking",8,112
Project TimeLine,"Create realistic release plans, forecast based on velocity and act on time when immediate attention is needed","Charts & diagramming, Project management",5,97
STAGIL Assets - Advanced Links,"Advanced Links for Jira with Fields, Graphs, Hierarchy and more Insights on Asset Tracking, CMDB, CRM, ERP, HR, ITSM, ITIL, PPM","CRM, Charts & diagramming, IT & helpdesk",3,86
Structure.Gantt - Planning at Scale,"Visualize dependencies and timelines across large-scale projects with an adaptable, easy-to-use Gantt chart solution for Jira","Project management, Reports, Tasks, Time tracking",8,1200
Reopening Counter for Jira,Reopening counter for Jira identifies problematic issues in projects. Highlights possible improvement points in a team,"Project management, Testing & QA, Time tracking",7,76
Agile Remaining Estimate Counter,Ensure your sprint commitments easily by monitoring correct remaining estimates right at Jira Agile Boards,"Monitoring, Project management, Time tracking",3,64
Worklogs - Time Reports for Jira,Track the time spent by members of your team in an easy and flexible way,"Dashboard gadgets, Project management",8,47
Relative Time Converter,Relative or explicit time? This converter allows you to display both values in the same time,Time tracking,3,61
Service Desk Reporter,Detailed lists or grouped Success Ratio reports on Jira Service Desk SLA Metrics,"IT & helpdesk, Reports, Time tracking",4,53
xPort - Custom Worklog Export for Jira,Export worklogs in Jira to Excel,"Reports, Time tracking",0,61
Artezio Burndown Chart,Create burndown/burnup charts in Jira with a simple yet powerful gadget,"Dashboard gadgets, Project management",6,646
TimePO - Time tracking and Timesheets,Easy and usable time tracking and reporting tools for employees and managers for Jira. Compatible with Tempo Timesheets for Jira,"Time tracking, Dashboard gadgets",22,546
Artezio Kanban Board for Jira,View and manage your project/subproject/filtered tasks as the Kanban Board,"Project management, Time tracking, Workflow",13,503
Weekly Activity Gadget,Use this gadget to monitor your weekly workload,"Dashboard gadgets, Time tracking",0,62
Log work as another user for Jira,Log work as another user and keep time tracking updated,Time tracking,4,54
Time Tracking Stats for Jira,The fastest and easiest way to get time tracking stats for project and team management,Time tracking,6,42
Chronos - JIRA Timetracking System,"Seamless time tracking and reports, bundled with native desktop app. Cross-platform. Simple. Fully integrated","Reports, Time tracking, Workflow",5,52
Status History PRO,"Analyze the history of statuses and users changes in time, using reports and interactive table and timeline","Project management, Reports, Time tracking",0,38
Hourglass Time Tracking for Jira,Simple & Seamless Time Tracking,Time tracking,0,37
Advanced Time Analysis for Jira,"Actionable time analysis on data like time spent, time estimated, and time remaining","Project management, Reports, Time tracking",12,28
Project Status - Project Time Report,"High-level project reporting that displays totals for original estimate, time spent, & time remaining. Helps planning & management","Charts & diagramming, Dashboard gadgets",6,23
WorkPlan Report,Displays issues estimated work per user over time,Time tracking,7,397
Smart QL - SQL & JQL easy reporting,"Query JIRA with SQL + make summaries, aggregates and quick reports + just like JQL but better","Integrations, Project management, Reports",4,19
Timesheet and Gantt Chart for Jira,Work hour reports Editable Grid for work hours and Gantt Chart,"Custom fields, Project management, Reports",3,43
Hours Reports (Work Log Time Reports),"Timesheets of logged hours by Employee, Project, Issue Type. Set up hourly rates, extract timesheets and spendings in Excel","Admin tools, Monitoring, Project management",4,26
Workboard,Workboard - one board for visualization and management of subtasks in Jira,"Project management, Time tracking, Utilities",6,25
RESTful Worklog Query,Retrieve time tracking data in JSON format via an authenticated RESTful service,Time tracking,3,330
TROCK Timetracking Overview And Logging,"Have an overview of all your logged time, and log work easily",Time tracking,0,271
Worklog Sync,Copy or Move worklogs entered by users from one issue to another linked issue,Time tracking,7,19
Toggl Time Tracking for Jira,Toggl powered time tracking right from issues in Jira,"Integrations, Time tracking",5,22
Epic Sum Summary - Epic Time Stats,"Sum up your Epic's Time Spent, Original Estimate, Time Remaining, and Percent Complete. Aggregates all related tasks and subtasks","Charts & diagramming, Project management",3,21
Flapps Time Tracking Cloud Connector,Connect your Jira OnDemand with Flapps.com - Time Tracking and Employee Time Off Management tool,Time tracking,3,289
Out Of Office Assistant for Jira Cloud,Reassign your Jira issues automatically when you are out of office,"Project management, Tasks, Time tracking",3,19
Custom Fields for SQL+JQL,Display dynamic data on Issues as custom fields according to the Jira users' permissions reading them,"Custom fields, Project management, Reports",5,196
Countdown Gadget,Keep Calm. The countdown has begun,"Dashboard gadgets, Time tracking",4,186
Timeboxing,"Track your time on issues, divide your work, take breaks",Time tracking,0,25
FreshBooks Connector for Jira,Connect your Jira with FreshBooks and prevent double time reporting for the same issues,"Custom fields, Integrations, Time tracking",10,15
QLogger,"Add, delete and update worklogs",Time tracking,4,157
Toggl Synchronization for Jira,Automatic synchronization of Toggl and Jira,"Integrations, Project management, Time tracking",6,13
Timesheet Export for Jira,Export logged time as spreadsheets,"Project management, Reports, Time tracking",0,29
Agile Clock for Jira,Jira Agile Clock - Simple time measurement for agile meetings,Time tracking,9,145
Roll-Up Reports for Jira,"Roll-up Summary reports for Epics, Sprints, Fix Versions, Agile Boards and more","Project management, Reports, Time tracking",0,28
Fastbucks: Automated Invoicing for Jira,Painless and automated billing to online accounting systems from Jira Projects,Time tracking,0,22
Crystal Gantt,Gantt Visualization for your Project for better Task and Resource Management,"Charts & diagramming, Project management",0,47
Advanced Team Dashboard,Spot problematic tickets in your projects and track the team's reliability - help the team in self-assessment,"Dashboard gadgets, Project management",5,11
Leave Tracker,Track how your team members use their vacation and sick days yearly limits,"Admin tools, Project management, Time tracking",4,14
TMetric - Time Tracker for Jira,Track time spent on Jira issues with one mouse click,"Time tracking, Workflow",5,143
Hide Time Tracking for Jira Cloud,Hide time tracking information from external users,Time tracking,7,153
Velocity & Capacity Forecast Calculator,"Get team or assignee velocity from any JQL query. Also, new velocity metric based on past estimation accuracy. Better capacity","Dashboard gadgets, Project management",5,11
Days Elapsed Plugin,SLA tracking using Traffic Light and Number of working days elapsed,"Custom fields, Time tracking",0,20
Time Tracking Enforcer for Jira,"Are you struggling with getting your team to enter their time? This is the easy, nag-free time tracking enforcement solution",Time tracking,4,16
Organize - Capacity Planner,Sprint Capacity Planning and Time Tracking,"Project management, Time tracking",0,16
Usage Statistics for Jira,See your popular issues at a glance,Time tracking,0,131
Multi Time Tracker for Jira,Smart time tracking while working with issues,Time tracking,0,42
Quantify TimeSpent,"Meet the lean time tracking approach, a better alternative to manual work logging. Timesheets without gaps, work without reminders","Dashboard gadgets, Project management",5,92
Workfront for Jira,Drive Work Forward,"Integrations, Project management, Tasks",4,113
Status History,"Analyze the history of statuses and users changes in time, using interactive table and timeline, on demand, directly on your issue","Project management, Time tracking",0,115
Worklog Simple Report,"Worklog report, simple and powerful","Project management, Reports, Time tracking",0,124
TeamLog: Time Tracking & Reporting Tool,This intuitive Jira plugin is an all-in-one dashboard with daily work logs & performance reports for project managers & team leads,"Dashboard gadgets, Project management",3,10
Team Worklog Reports,Fast and easy worklog reports for your team,"Reports, Time tracking",0,76
Project Budget for Jira,Project budget management with issue worklogs,"Project management, Time tracking",0,15
PERT calculator,PMP® approved time tracking technique that is providing accuracy to your original estimates,"Project management, Time tracking",0,10
Release Manager - Deployment Planning,"Forecast, plan, and monitor your releases, deployments, & projects with Release Manager and our Calculated Release Date gadget","Project management, Reports, Time tracking",4,7
Worklog History,View the time logged by users in the worklog using a convenient timetable directly on the issue,"Project management, Time tracking, Utilities",0,81
Alkaes - Minyaa Time,Extends Jira with Time tracking feature and powerful reports,"Custom fields, Dashboard gadgets, Time tracking",0,28
Range Estimate for Jira,Range Estimate adds possibility to have optimistic and pessimistic estimates for an issue,"Custom fields, Monitoring, Project management",0,8
Cronforce Time Tracking for Jira,"Best in class Time Tracking, Vacation Management and Project Cost Control. Free and Paid Plans",Time tracking,4,79
Harvester Real-Time Tracking,Track time in Harvest directly from Jira,Time tracking,0,23
Copy Work Description to Comment,Copy work description to comment,Time tracking,7,54
Daily Worklog,Fix time tracking quality,Time tracking,0,10
Customer Requests Workload Report,FAST and EASY way to inform customers for the time spent on their requests via the Jira Service Desk user portal,"IT & helpdesk, Reports, Time tracking",4,53
Pomodoro & Stopwatch Timer for Jira,Add a stopwatch timer or a Pomodoro timer to track your time on any Jira Issue and update your worklog automatically,Time tracking,0,57
SLA Notifications for Servicedesk,Notifications banners for issues with expiring or expired SLA's. Manage which breached SLA's you want to be notified about,"IT & helpdesk, Monitoring, Time tracking",3,6
SimpleLog Timesheet and Worklog Gadget,View timesheets and work logs in a visually appealing dashboard gadget,"Dashboard gadgets, Project management",0,7
Any.do for Jira,Create tasks in Any.do from Jira issues,Time tracking,6,68
Estimate Accuracy Gadget for Jira Cloud,Stylish estimate accuracy gadget for displaying how accurate your estimates were versus actual time spent,"Charts & diagramming, Dashboard gadgets",4,5
Quantify TimeSpent Pro,"Meet the lean time tracking approach, a better alternative to manual work logging. Timesheets without gaps, work without reminders","Dashboard gadgets, Project management",0,5
Progress Highlighting for Jira,The ultimate user progress gadget based on estimations,"Dashboard gadgets, Time tracking",0,7
Metova Time Sheet for Jira,Metova Time Sheet for Jira generates clean and simple time reports that are easy to read,"Time tracking, Dashboard gadgets",0,7
Meeting Mate,Schedule meetings quickly and easily across timezones,"IT & helpdesk, Time tracking, Utilities",0,5
Dovico Time Tracking for Jira,Work more efficiently by entering time within Jira for Dovico Timesheet,Time tracking,4,46
Blue Ant plugin for work-time,"Plugin to create and update Blue Ant activity from Jira, work-time recording, %-complete and remaining hours in Blue Ant","Custom fields, Time tracking",4,26
